title,yearOn,yearOff,category,scale
Kolosseum,72,80,art,year
Pompeji Verschüttet,79,,event,year
Artemis von Ephesos,125,175,art,year
Marc Aurel,161,180,person,year
erste Bibel,200,300,art,year
Konstatin der Große,272,337,person,year
Konstanti der Grosse,306,337,person,year
Hagia Sophia,325,500,art,year
Augustinus,354,430,person,year
Byzantisches Reich,395,1453,epoch,year
Eroberung Attila,441,453,event,year
Ende des weströmischen Reich,450,,event,year
Acropolis,464,406,art,year
Herodot,480,425,person,year
Frankreich unter den Merowingern und Karolingern,481,911,epoch,year
Theoderich der Große,493,526,person,year
Merowinger,500,750,epoch,year
merowingische Kunst,500,750,epoch,year
Vorromanik,500,1050,epoch,year
Mausoleum des Theoderich,520,550,art,year
Angelsachsen in E,550,600,event,year
Mohammed,570,632,person,year
chess,600,,invention,year
paper money,618,,invention,year
Arabische Eroberung,634,800,event,year
pinfeather,635,,invention,year
windmill,650,,invention,year
Pippin III,714,768,person,year
Karl der Große,747,814,person,year
Early Middle Ages,750,1045,epoch,year
karolingische Kunst,750,900,epoch,year
Karolinger,751,911,epoch,year
porcellain,780,,invention,year
Wikinger,793,1066,epoch,year
Hildebrandslied,830,840,art,year
Merseburger Zaubersprüche,850,860,art,year
Ankor Wat ,900,1100,art,year
ottonische Kunst,950,1050,epoch,year
Song Dynastie,960,1279,epoch,year
Hl Römisches Reich,962,1806,epoch,year
Ottonen,962,1070,epoch,year
Inka,1000,1780,epoch,year
spinning wheel,1000,,invention,year
Bernwardstür in Hildesheim,1015,1020,art,year
Westinster Abbey,1045,1065,art,year
High Middle Ages,1050,1250,epoch,year
coloured glass,1065,,invention,year
fork,1071,,invention,year
Salier,1084,1150,epoch,year
first university,1088,,event,year
compass,1090,,invention,year
1. Kreuzzug,1096,1099,event,year
Hildegard von Bingen,1098,1179,person,year
Friedrich Barbarossa,1122,1190,person,year
Staufer,1155,1268,epoch,year
Genghis Khan,1162,1227,person,year
Notre Dame,1163,1300,art,year
Walter von der Vogelweide,1170,1230,person,year
Turm von Pisa,1173,1272,art,year
ship rudder,1180,,invention,year
Parzival,1200,1210,art,year
magnifying glass,1200,,invention,year
Magna Carta,1214,1220,event,year
Nibelungenlied,1220,1250,art,year
Snorra Edda,1220,1225,art,year
Koelner Dom,1248,1880,art,year
Kölner Dom,1248,1300,art,year
Gotik,1250,1520,epoch,year
Hanse,1250,1500,epoch,year
canons,1250,,invention,year
Dante,1265,1321,person,year
Giotto,1266,1337,person,year
gun powder,1267,,invention,year
Osmanen,1299,1922,epoch,year
glasses,1299,,invention,year
Giotto - Scrovegni Chapel,1300,1305,art,year
Azteken,1320,1521,epoch,year
Pest,1347,1351,event,year
Renaissance,1350,1500,epoch,year
Late Middle Ages,1355,1500,epoch,year
Ming Dynastie,1368,1644,epoch,year
Ming Dynastie,1368,1644,epoch,year
Jan Hus,1369,1415,person,year
Donatello,1386,1466,person,year
Cosimo de Medici,1389,1464,person,year
Jan van Eyck,1390,1441,person,year
Osterinseln Moai,1400,1410,art,year
screw ,1405,,invention,year
Jeanne d'Arc,1412,1431,person,year
Donatello - David,1440,1442,art,year
Botticelli,1445,1510,person,year
Machu Picchu,1450,1460,art,year
Kloster Reichenau,1450,1540,art,year
Kolumbus,1451,1506,person,year
da Vinci,1452,1519,person,year
book printing,1455,,invention,year
Desiderius Erasmus,1466,1536,person,year
Machiavelli,1469,1527,person,year
Reformation,1470,1595,epoch,year
Albrecht Dürer,1471,1528,person,year
Kopernikus,1473,1543,person,year
Inquisition,1478,1834,event,year
Botticelli - La Primavera,1482,1487,art,year
Martin Luther,1483,1546,person,year
Raphael,1483,1520,person,year
Michelangelo,1483,1520,person,year
Botticelli - Die Geburt der Venus,1485,1487,art,year
Titian,1488,1576,person,year
Da Vinci - Das letzte Abendmahl,1490,1492,art,year
Amerikas,1492,1494,event,year
Paracelsus,1493,1541,person,year
Da Vinci - Dame mit dem Hermelin,1496,1498,art,year
Michelangelo - David,1501,1504,art,year
Petersdom,1506,1626,art,year
Raphael - Schule von Athn,1507,1509,art,year
Raphael - Der Triumph der Galeta,1511,1513,art,year
Micelangelo - Die Erschaffung des Adam,1512,1514,art,year
Da Vinci - Johannes der Taeufer,1513,1515,art,year
Giovanni Pierluigi da Palestrina,1514,1494,person,year
Da Vinci - Mona Lisa ,1517,1519,art,year
Thesenanschlag,1517,,event,year
Manerismus,1520,1600,epoch,year
Eroberung Azteken,1521,1523,event,year
Parmigianino - Madonna mit dem langen Hals,1532,1540,art,year
Andrea Gabrieli,1532,1585,person,year
Neuzeit,1550,1850,epoch,year
Basilius Kathedrale,1552,1561,art,year
Tizian - Peuseus und Andromeda,1554,1556,art,year
Bruegel der Aeltere - Niederlaendische Sprichwoerter,1559,1602,art,year
Shakespeare,1564,1616,person,year
Galileo Galilei,1564,1642,person,year
Bartholomäusnacht,1572,,event,year
Arcimboldo - Der Frühling,1573,1575,art,year
Heinrich Schuütz,1585,1672,person,year
Thomas Hobbes,1588,1679,person,year
knitting machine,1589,,invention,year
microscope,1590,,invention,year
telescope,1590,,invention,year
Caravaggio - Sick Bacchus,1592,1594,art,year
Rene Descartes,1596,1650,person,year
Martin Opitz,1597,1639,person,year
Caravaggio - Die Umwandlung von St Paul,1600,1602,art,year
East India Company,1600,1874,event,year
VOC,1602,1799,event,year
Barock,1605,1710,epoch,year
Rembrandt,1606,1669,person,year
Rubens - Dornenkrone,1612,1614,art,year
Rubens - Tiger Loewen und Leoparden Jagd,1616,1618,art,year
Andreas Gryphius,1616,1664,person,year
Rubens - Raub der Toechter des Leukippos,1618,1620,art,year
30 jähriger Krieg,1618,1648,event,year
Prager Fenstersturz,1618,,event,year
Mayflower,1620,1621,event,year
calculator,1623,,invention,year
Berini - Apoll und Daphne,1625,1630,art,year
Rubens - Cimon und Pero,1630,1632,art,year
