node1,node2,category,comment,,,
Tyndareus,Clytemnestra,descendant,,,,
Tyndareus,Castor,descendant,,,,
Tyndareus,Pollus,descendant,,,,
Uranus,Cronus,descendant,,,,
Uranus,Hectatonchines,descendant,,,,
Uranus,Cyclopes,descendant,,,,
Uranus,Echidna,descendant,,,,
Uranus,Ennyes,descendant,,,,
Uranus,Gigantes,descendant,,,,
Uranus,Meliae,descendant,,,,
Uranus,Aphrodite,descendant,,,,
Uranus,Rhea,descendant,,,,
Uranus,Phoebe,descendant,,,,
Uranus,Coeus,descendant,,,,
Uranus,Mnemosyne,descendant,,,,
Uranus,Tethys,descendant,,,,
Uranus,Oceanus,descendant,,,,
Uranus,Crius,descendant,,,,
Uranus,Hyperion,descendant,,,,
Uranus,Iapetus,descendant,,,,
Uranus,Theia,descendant,,,,
Uranus,Themis,descendant,,,,
Zeus,Muses,descendant,,,,
Zeus,Athena,descendant,,,,
Zeus,Persephone,descendant,,,,
Zeus,Apollo,descendant,,,,
Zeus,Artemis,descendant,,,,
Zeus,Epaphus,descendant,,,,
Zeus,Heracles,descendant,,,,
Zeus,Dionysus,descendant,,,,
Zeus,Hebe,descendant,,,,
Zeus,Enyo,descendant,,,,
Zeus,Hephaetsus,descendant,,,,
Zeus,Eileithya,descendant,,,,
Zeus,Ares,descendant,,,,
Zeus,Rhadamanthys,descendant,,,,
Zeus,Angelos,descendant,,,,
Zeus,Eris,descendant,,,,
Zeus,Hebe,descendant,,,,
Zeus,Hermes,descendant,,,,
Zeus,Charites,descendant,,,,
Zeus,Sarpedon,descendant,,,,
Zeus,Minos,descendant,,,,
Zeus,Perseus,descendant,,,,
Zeus,Helena,descendant,,,,
Zeus,Lacedaemos,descendant,,,,
Pleione,Maia,descendant,,,,
Alcmene,Amphitryon,partner,,,,
Aphrodite,Hermes,partner,,,,
Aphrodite,Ares,partner,,,,
Aphrodite,Hephaestus,partner,,,,
Aphrodite,Anchises,partner,,,,
Aphrodite,Adonis,partner,,,,
Aphrodite,Dionysus,partner,,,,
Aphrodite,Poseidon,partner,,,,
Aphrodite,Phaethon,partner,,,,
Ares,Harmonia,partner,,,,
Ares,Calliope,partner,,,,
Ares,Terpsichore,partner,,,,
Ares,Eos,partner,,,,
Ares,calliope,partner,,,,
Ares,Aegina,partner,,,,
Ares,Callirrhoe,partner,,,,
Ares,Cleobula,partner,,,,
Ares,Harpinna,partner,,,,
Ares,Sterope,partner,,,,
Atlas,Pleione,partner,,,,
Cadmus,Harmonia,partner,,,,
Clymene,Helios,partner,,,,
Coeus,Phoebe,partner,,,,
